Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004
"42EE","Census Tract 42EE, Philadelphia County, Pennsylvania","140","4210104231000","42","101",6389,6387,1,1,99.97,0.02,0.02
"42FF","Census Tract 42FF, Philadelphia County, Pennsylvania","140","4210104232000","42","101",2776,2773,2,1,99.89,0.07,0.04
"42GG","Census Tract 42GG, Philadelphia County, Pennsylvania","140","4210104233000","42","101",8786,8777,6,3,99.9,0.07,0.03
"42HH","Census Tract 42HH, Philadelphia County, Pennsylvania","140","4210104234000","42","101",10064,10015,31,18,99.51,0.31,0.18
"42II","Census Tract 42II, Philadelphia County, Pennsylvania","140","4210104235000","42","101",4943,4932,7,4,99.78,0.14,0.08
"42JJ","Census Tract 42JJ, Philadelphia County, Pennsylvania","140","4210104236000","42","101",1588,1588,0,0,100,0,0
"42KK","Census Tract 42KK, Philadelphia County, Pennsylvania","140","4210104237000","42","101",4385,4381,4,0,99.91,0.09,0
"43A","Census Tract 43A, Philadelphia County, Pennsylvania","140","4210104301000","42","101",8240,8238,1,1,99.98,0.01,0.01
"43B","Census Tract 43B, Philadelphia County, Pennsylvania","140","4210104302000","42","101",7146,6797,346,3,95.12,4.84,0.04
"43C","Census Tract 43C, Philadelphia County, Pennsylvania","140","4210104303000","42","101",6407,6013,387,7,93.85,6.04,0.11
"43D","Census Tract 43D, Philadelphia County, Pennsylvania","140","4210104304000","42","101",17434,17254,171,9,98.97,0.98,0.05
"43E","Census Tract 43E, Philadelphia County, Pennsylvania","140","4210104305000","42","101",11522,11514,1,7,99.93,0.01,0.06
"44A","Census Tract 44A, Philadelphia County, Pennsylvania","140","4210104401000","42","101",13226,11946,1275,5,90.32,9.64,0.04
"44B","Census Tract 44B, Philadelphia County, Pennsylvania","140","4210104402000","42","101",16221,6614,9585,22,40.77,59.09,0.14
"44C","Census Tract 44C, Philadelphia County, Pennsylvania","140","4210104403000","42","101",14296,10124,4131,41,70.82,28.9,0.29
"45A","Census Tract 45A, Philadelphia County, Pennsylvania","140","4210104501000","42","101",3569,3567,0,2,99.94,0,0.06
"45B","Census Tract 45B, Philadelphia County, Pennsylvania","140","4210104502000","42","101",12,12,0,0,100,0,0
"45C","Census Tract 45C, Philadelphia County, Pennsylvania","140","4210104503000","42","101",6885,6884,1,0,99.99,0.01,0
"45D","Census Tract 45D, Philadelphia County, Pennsylvania","140","4210104504000","42","101",362,362,0,0,100,0,0
"45E","Census Tract 45E, Philadelphia County, Pennsylvania","140","4210104505000","42","101",1189,1188,1,0,99.92,0.08,0
